UtteranceID	AudioSentTS	AudioReceivedTS	AudioProcessedTS	AudioSentToUITS	LatencyMS	Text
ce23ce04-9a8b-4afe-ab33-0491676a5d47	13:29:28.431	13:29:28.431	13:29:31.334	13:29:31.334	2902	Excuse me, Doctor. Yes, come in.
e1adcd48-2d52-4126-a634-bdb5b44b3e49	13:29:32.330	13:29:32.330	13:29:35.150	13:29:35.150	2819	What are you suffering from?
d9828bdf-7cdb-479f-85fe-a1cd35a4f4f3	13:29:36.230	13:29:36.230	13:29:39.081	13:29:39.081	2850	I am suffering from fever, Doctor.
9cb33e3d-3232-474b-8c65-694fde065264	13:29:40.431	13:29:40.431	13:29:43.296	13:29:43.296	2864	Okay, how long do you have this?
6cca845b-32c5-43e3-b8de-0d8e8a46f480	13:29:44.631	13:29:44.631	13:29:47.500	13:29:47.500	2868	I have this for last 3 days Doctor.
2d60e373-cfbb-4ffb-96b1-dc2938e05174	13:29:48.231	13:29:48.231	13:29:51.047	13:29:51.047	2816	Did you take any medicines?
41c5585b-5163-42e7-b540-f5e4e647c9ee	13:29:54.222	13:29:54.222	13:29:57.086	13:29:57.086	2863	No Doctor. Do you have any other symptoms?
8aa6d08f-56bb-441b-aad7-4f54a5d71240	13:30:02.022	13:30:02.022	13:30:05.000	13:30:05.000	2977	No Doctor. Okay, I'll prescribe you some medicines. Take that.
cc589403-1ef7-4bf0-a3d3-1567d1156f24	13:30:09.222	13:30:09.222	13:30:12.150	13:30:12.150	2927	Okay Doctor, come again next week for consultation.
b2f03b8f-5dd4-4bc8-b430-8e5baace9f87	13:30:13.422	13:30:13.422	13:30:16.245	13:30:16.245	2822	Okay Doctor,
ae5d7024-9344-4e15-af17-968f785cc580	13:30:16.721	13:30:16.721	13:30:19.694	13:30:19.694	2972	take care of yourself, keep hydrated.
b04da403-1fc1-46bf-a5b2-331dbc3f492b	13:30:13.422	13:30:13.422	13:30:19.695	13:30:19.695	6272	Bye.
d7164b55-3158-4a57-829c-b00c925c679b	13:30:59.322	13:30:59.322	13:31:02.141	13:31:02.141	2819	Doctor, patient, diagnosis.
